team_a,team_b,total_wc_matches,team_a_wins,draws,team_b_wins,team_a_goals,team_b_goals,goal_difference_a,last_wc_meeting_year,last_wc_meeting_stage,last_wc_result,most_famous_match,most_famous_match_score,most_famous_match_year,most_famous_match_stage
Argentina,Croatia,2,2,0,0,5,1,4,2022,Semi-final,Argentina won 3-0,Argentina 3-0 Croatia,3-0,2022.0,Semi-final
Argentina,England,4,3,0,1,7,4,3,2026,Semi-final,Argentina won 2-1,Argentina 2-1 England (Hand of God),2-1,1986.0,Quarter-final
Argentina,France,3,1,1,1,8,9,-1,2022,Final,Argentina won 3-3 (4-2p),Argentina 3-3 France (4-2p),3-3 (4-2p),2022.0,Final
Argentina,Germany,6,2,1,3,8,10,-2,2014,Final,Germany won 1-0 AET,Germany 1-0 Argentina (AET),1-0,2014.0,Final
Argentina,Italy,2,0,1,1,1,3,-2,1990,Final,West Germany won (not direct),Italy 3-2 Argentina,3-2,1990.0,Semi-final
Argentina,Mexico,3,3,0,0,10,3,7,2022,Group Stage,Argentina won 2-0,Argentina 6-3 Mexico,6-3,1930.0,Group Stage
Argentina,Netherlands,5,2,2,1,8,7,1,2022,Quarter-final,Argentina won 2-2 (4-3p),Argentina 3-1 Netherlands,3-1,1978.0,Final
Brazil,Argentina,4,2,0,2,7,6,1,2021,Copa (not WC),,Brazil 3-0 Argentina,3-0,1982.0,Group Stage
Brazil,Croatia,2,1,0,1,5,4,1,2022,Quarter-final,Croatia won 1-1 (4-2p),Croatia 1-1 Brazil (4-2p),1-1 (4-2p),2022.0,Quarter-final
Brazil,England,3,2,1,0,5,3,2,2002,Quarter-final,Brazil won 2-1,Brazil 2-1 England,2-1,2002.0,Quarter-final
Brazil,France,3,2,0,1,5,4,1,2006,Quarter-final,France won 1-0,France 3-0 Brazil (1998 final),3-0,1998.0,Final
Brazil,Germany,8,4,1,3,18,14,4,2014,Semi-final,Germany won 7-1,Germany 7-1 Brazil (Mineirazo),7-1,2014.0,Semi-final
Brazil,Italy,4,2,2,0,5,3,2,1994,Final,Brazil won on pens (0-0),Brazil 4-3 Italy (penalties),0-0 (4-2p),1994.0,Final
Brazil,Morocco,1,0,1,0,1,1,0,2026,Group Stage,Draw 1-1,Brazil 1-1 Morocco,1-1,2026.0,Group Stage
Brazil,Netherlands,4,2,1,1,9,6,3,2010,Quarter-final,Netherlands won 2-1,Brazil 2-1 Netherlands,2-1,2010.0,Quarter-final
Brazil,South Korea,3,3,0,0,10,2,8,2022,Round of 16,Brazil won 4-1,Brazil 4-1 South Korea,4-1,2022.0,Round of 16
Brazil,Sweden,3,3,0,0,14,4,10,1994,Semi-final,Brazil won 1-0,Brazil 5-2 Sweden,5-2,1958.0,Final
Brazil,Uruguay,5,3,1,1,10,8,2,1970,Semi-final,Brazil won 3-1,Uruguay 2-1 Brazil (Maracanazo),2-1,1950.0,Final Round
Croatia,Argentina,2,0,0,2,1,5,-4,2022,Semi-final,Argentina won 3-0,Argentina 3-0 Croatia,3-0,2022.0,Semi-final
Croatia,Brazil,2,1,0,1,4,5,-1,2022,Quarter-final,Croatia won 1-1 (4-2p),Croatia 1-1 Brazil (4-2p),1-1 (4-2p),2022.0,Quarter-final
Croatia,England,4,1,0,3,7,11,-4,2026,Group Stage,England won 4-2,Croatia 2-1 England (AET),2-1,2018.0,Semi-final
England,Argentina,4,1,0,3,4,7,-3,2026,Semi-final,Argentina won 2-1,England 1-2 Argentina (Hand of God game),1-2,1986.0,Quarter-final
England,Croatia,4,3,0,1,11,7,4,2026,Group Stage,England won 4-2,England 5-1 Croatia (2021 Euros not WC),,,
England,Germany,5,2,1,2,7,12,-5,2010,Round of 16,Germany won 4-1,England 4-2 Germany (AET 1966 final),4-2,1966.0,Final
England,Mexico,2,2,0,0,5,2,3,2026,Round of 16,England won 3-2,England 3-2 Mexico,3-2,2026.0,Round of 16
