team,confederation,total_wc_appearances,total_matches,total_wins,total_draws,total_losses,total_goals_scored,total_goals_conceded,goal_difference,win_rate,best_finish,titles,finals_reached,semis_reached,quarters_reached,last_wc_year,first_wc_year,consecutive_appearances_current,host_times,elo_peak_approx,notes
Brazil,CONMEBOL,23,114,76,18,20,237,108,129,0.667,Winner,5,7,11,14,2026,1930,23,1,2050,Only team in every WC; 5 titles most all-time
Germany,UEFA,21,109,67,19,23,226,127,99,0.615,Winner,4,8,13,16,2026,1934,8,1,1990,Includes West Germany titles 1954/1974; most finals appearances (8)
Italy,UEFA,18,83,45,21,17,128,77,51,0.542,Winner,4,6,11,13,2022,1934,0,1,1980,"Dominant 1930s/1980s era; 2006 last title; missed 2026 too, lost UEFA playoff final to Bosnia and Herzegovina on penalties"
Argentina,CONMEBOL,19,88,46,16,26,145,97,48,0.523,Winner,3,7,13,16,2026,1930,6,1,1980,"Messi era 2-time finalist; 3 titles total; 2026: runners-up, lost final to Spain 0-1 (AET)"
France,UEFA,17,73,41,15,17,135,75,60,0.562,Winner,2,3,7,11,2026,1930,7,1,1980,"1998+2018 titles; Mbappé era peaking; 2026: 4th place, lost bronze final to England 4-6; Mbappe became WC all-time top scorer"
Spain,UEFA,17,67,36,14,17,104,72,32,0.537,Winner,2,3,4,9,2026,1934,9,1,1990,"2010 first title; historically underperformed relative to talent; 2026: champions again, beat Argentina 1-0 (AET) in the final"
England,UEFA,17,69,29,20,20,84,64,20,0.42,Winner,1,1,4,9,2026,1950,9,1,1940,"1966 only title; semi-final exits 1990/2018/2022; 2026: 3rd place, beat France 6-4 in bronze final"
Uruguay,CONMEBOL,15,57,30,11,16,90,67,23,0.526,Winner,2,2,4,8,2026,1930,4,0,1990,2 early titles; resurgent 2010 with Suárez/Forlán
Netherlands,UEFA,12,52,27,12,13,93,58,35,0.519,Winner,0,3,4,7,2026,1934,9,0,1960,3 finals; never won; Total Football legacy
Mexico,CONCACAF,18,60,16,13,31,62,101,-39,0.267,Quarter-finals,0,0,0,3,2026,1930,10,3,1780,Consistent qualifier but QF ceiling; hosts 2026
Russia,UEFA,11,40,17,7,16,64,60,4,0.425,Fourth place,0,0,1,2,2022,1958,1,1,1730,As Soviet Union: 4th in 1966; hosts QF in 2018
Belgium,UEFA,15,51,24,8,19,79,68,11,0.471,Third place,0,0,2,6,2026,1930,10,0,1930,2018 best ever; De Bruyne generation; now or never
Portugal,UEFA,9,44,26,8,10,81,42,39,0.591,Third place,0,0,2,4,2026,1966,5,0,1940,1966 Eusébio; 2006 Figo/Ronaldo; still finals elusive
Croatia,UEFA,9,43,22,11,10,66,50,16,0.512,Runner-up,0,1,3,3,2026,1998,6,0,1880,Incredible small nation; Modrić era remarkable
Poland,UEFA,9,33,16,5,12,45,45,0,0.485,Third place,0,0,2,3,1986,1938,1,0,1880,1974/1982 strong; Lewandowski era disappointing
Sweden,UEFA,13,51,18,13,20,74,69,5,0.353,Runner-up,0,1,3,4,2026,1934,1,0,1820,1958 runners-up; consistent; 2026 return with Isak
Yugoslavia,UEFA,8,37,17,7,13,60,46,14,0.459,Fourth place,0,0,2,5,1998,1930,0,0,1860,Nation dissolved; successor states now separate
Hungary,UEFA,9,32,15,3,14,87,57,30,0.469,Runner-up,0,2,2,3,1986,1934,0,0,1930,Golden Team 1950s; Puskás era; major decline since
Turkey,UEFA,4,15,7,1,7,26,24,2,0.467,Third place,0,0,1,1,2026,1954,1,0,1870,2002 brilliant debut; 2026 return after playoff
Chile,CONMEBOL,9,38,17,7,14,63,70,-7,0.447,Third place,0,0,1,2,2014,1930,0,1,1830,1962 hosts reached 3rd; 2010 QF; Copa América power
Japan,AFC,9,31,9,6,16,33,47,-14,0.29,Round of 16,0,0,0,0,2026,1998,7,0,1800,Consistent since 1998; PK heartbreaks vs Croatia/Belgium
Morocco,CAF,7,22,8,7,7,20,13,7,0.364,Semi-finals,0,0,1,2,2026,1970,4,0,1860,2022 revolution; best African team ever at WC
South Korea,AFC,12,37,10,9,18,45,69,-24,0.27,Semi-finals,0,0,1,1,2026,1954,9,1,1790,2002 co-host magic; consistent R16 team
United States,CONCACAF,12,41,11,9,21,43,72,-29,0.268,Third place,0,0,1,2,2026,1930,6,2,1790,Best team of all-time in 2026; hosts
Colombia,CONMEBOL,7,27,12,4,11,36,29,7,0.444,Quarter-finals,0,0,0,1,2026,1962,4,0,1870,James 2014 iconic; Díaz generation promising
Peru,CONMEBOL,5,15,4,3,8,19,31,-12,0.267,Quarter-finals,0,0,0,1,1982,1930,0,0,1760,2018 return; 1970/1978 QFs best era
